epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.90205,3.28217,15.6941,1.60689,0.62566,0.22424,0.24646,0.08831,3.11146,12.5519,1.32108,0.09703,3e-05,3e-05
2,8.58086,3.46787,16.9242,1.82191,0.01761,0.49091,0.07111,0.04481,2.86464,15.074,1.28136,0.0930697,6.97228e-05,6.97228e-05
3,9.45754,3.30071,14.025,1.65254,0.07098,0.33333,0.14041,0.06758,2.65819,14.2336,1.56754,0.0891091,0.000109129,0.000109129
4,10.3212,2.43612,8.50722,1.19583,0.3374,0.16667,0.00553,0.00091,3.67866,20.0768,1.98411,0.0851482,0.000148218,0.000148218
5,11.2148,2.1727,6.27037,1.16599,0.51957,0.37294,0.20268,0.10412,2.89972,14.6278,1.62509,0.081187,0.00018699,0.00018699
6,12.2012,1.91015,4.68723,1.1691,0.25668,0.37086,0.31573,0.19371,2.97609,11.9215,1.62697,0.0772254,0.000225446,0.000225446
7,13.1539,2.04531,5.14323,1.12975,0.59147,0.28485,0.39876,0.20864,3.36628,9.21304,1.57097,0.0732636,0.000263585,0.000263585
8,14.051,2.03382,4.85496,1.06286,0.64516,0.61481,0.47679,0.28099,2.91878,9.55273,1.39488,0.0693014,0.000301407,0.000301407
9,14.9992,1.96898,4.60571,1.11072,0.58537,0.80154,0.59769,0.40086,2.58248,11.5576,1.28929,0.0653389,0.000338912,0.000338912
10,15.9197,1.98211,4.44407,1.06589,0.63388,0.76475,0.65934,0.37314,2.55173,10.4769,1.20586,0.0613761,0.0003761,0.0003761
11,16.775,1.94284,4.20567,0.99609,0.64938,0.92783,0.70546,0.38536,2.50523,8.16562,1.20912,0.057413,0.000412972,0.000412972
12,17.6401,1.99737,4.63119,1.07864,0.60142,0.90354,0.64165,0.33678,2.73673,8.21522,1.30524,0.0534495,0.000449527,0.000449527
13,18.5553,1.8906,3.99003,1.10788,0.50782,0.9697,0.65178,0.35056,2.6061,10.912,1.41744,0.0494858,0.000485765,0.000485765
14,19.4098,2.02344,3.6547,1.1687,0.52662,0.8374,0.73282,0.46021,1.99744,13.1645,1.42638,0.0455217,0.000521686,0.000521686
15,20.4756,1.75909,3.35159,1.05166,0.58648,0.87879,0.78612,0.48084,2.09914,8.39751,1.40786,0.0415573,0.00055729,0.00055729
16,21.5325,1.94394,3.16001,1.14906,0.58648,0.87879,0.78612,0.48084,2.09914,8.39751,1.40786,0.0375926,0.000592578,0.000592578
17,22.7289,1.73725,3.23286,1.07412,0.70935,0.87879,0.93659,0.42985,2.75415,9.63652,1.60281,0.0336275,0.000627549,0.000627549
18,23.7759,2.14177,3.30995,1.10226,0.81444,0.91842,0.9825,0.39751,3.21031,7.90676,1.87394,0.0296622,0.000662203,0.000662203
19,24.761,1.97272,3.22051,1.12235,0.81444,0.91842,0.9825,0.39751,3.21031,7.90676,1.87394,0.0256965,0.00069654,0.00069654
20,25.8595,1.86758,3.09387,1.14204,0.60293,0.89247,0.82917,0.4103,2.68453,6.60772,1.50459,0.0217306,0.00073056,0.00073056
21,26.8313,1.81455,3.45708,1.07657,0.79878,0.83417,0.87486,0.56808,2.0732,9.26808,1.3399,0.0177643,0.000764264,0.000764264
22,27.9001,1.91032,3.13853,1.12882,0.79878,0.83417,0.87486,0.56808,2.0732,9.26808,1.3399,0.0137977,0.000797651,0.000797651
23,29.037,1.70693,2.94707,1.05979,0.73706,0.94016,0.95409,0.50746,2.36253,11.7733,1.58855,0.00983072,0.000830721,0.000830721
24,30.0321,1.57244,3.56343,1.01717,0.73706,0.94016,0.95409,0.50746,2.36253,11.7733,1.58855,0.00586347,0.000863474,0.000863474
25,30.9092,1.58744,3.04464,1.02563,0.7681,0.82528,0.91176,0.43849,2.68403,7.11077,1.57103,0.00189591,0.00089591,0.00089591
26,31.7505,1.81898,2.96129,1.04114,0.7681,0.82528,0.91176,0.43849,2.68403,7.11077,1.57103,0.000901,0.000901,0.000901
27,32.7048,1.85113,2.83711,1.02934,0.70921,0.87879,0.91174,0.5937,2.07577,6.10321,1.40542,0.00089704,0.00089704,0.00089704
28,33.7123,1.93351,2.82764,1.16698,0.70921,0.87879,0.91174,0.5937,2.07577,6.10321,1.40542,0.00089308,0.00089308,0.00089308
29,34.7363,1.83237,2.89366,1.11046,0.69583,0.87795,0.92485,0.5182,2.22144,7.39567,1.47337,0.00088912,0.00088912,0.00088912
30,35.7581,1.76996,3.07374,1.09103,0.69583,0.87795,0.92485,0.5182,2.22144,7.39567,1.47337,0.00088516,0.00088516,0.00088516
31,36.683,1.70562,2.62197,1.02349,0.83965,0.79521,0.9765,0.52535,2.2964,5.83105,1.49303,0.0008812,0.0008812,0.0008812
32,37.6279,1.80795,2.68879,1.0931,0.83965,0.79521,0.9765,0.52535,2.2964,5.83105,1.49303,0.00087724,0.00087724,0.00087724
33,38.5731,1.76786,2.73419,1.03946,0.82539,0.80849,0.9368,0.52761,2.19267,6.93007,1.46115,0.00087328,0.00087328,0.00087328
34,39.612,1.68512,2.66009,1.04912,0.82539,0.80849,0.9368,0.52761,2.19267,6.93007,1.46115,0.00086932,0.00086932,0.00086932
35,40.4987,1.87339,2.78374,1.09964,0.55175,0.78659,0.88978,0.54945,2.19094,6.08286,1.5018,0.00086536,0.00086536,0.00086536
36,41.3619,1.64837,3.31648,1.12906,0.55175,0.78659,0.88978,0.54945,2.19094,6.08286,1.5018,0.0008614,0.0008614,0.0008614
37,42.3333,1.78819,2.83086,1.13276,0.40211,0.87078,0.84194,0.46925,2.41962,8.29572,1.55427,0.00085744,0.00085744,0.00085744
38,43.3406,1.80774,2.67974,1.1207,0.40211,0.87078,0.84194,0.46925,2.41962,8.29572,1.55427,0.00085348,0.00085348,0.00085348
39,44.3262,1.78809,2.54988,1.06364,0.66669,0.84428,0.93373,0.46178,2.61385,8.58355,1.66479,0.00084952,0.00084952,0.00084952
40,45.3071,1.68719,2.49711,1.03316,0.66669,0.84428,0.93373,0.46178,2.61385,8.58355,1.66479,0.00084556,0.00084556,0.00084556
