epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7649,3.28503,15.6301,1.48256,0,0,0,0,2.72653,14.3925,1.21028,0.09703,3e-05,3e-05
2,13.5776,3.55981,15.6231,1.63349,0,0,0,0,1.95391,14.3453,1.04246,0.0930697,6.97228e-05,6.97228e-05
3,14.4811,2.84962,15.5443,1.35866,0,0,0,0,1.89634,13.8366,1.03461,0.0891091,0.000109129,0.000109129
4,15.4017,2.18202,13.9294,1.13334,0.00074,0.33333,0.00148,0.00118,2.7773,14.6265,1.37996,0.0851482,0.000148218,0.000148218
5,16.4143,1.92509,12.2351,1.00362,0.00649,0.66667,0.04868,0.02737,2.73513,14.4528,1.38443,0.081187,0.00018699,0.00018699
6,17.2785,1.68353,10.6259,0.99604,0.00186,0.33333,0.05312,0.02796,2.86567,14.1132,1.30789,0.0772254,0.000225446,0.000225446
7,18.2096,1.96146,10.7658,1.01115,0.00185,0.33333,0.07674,0.04737,2.81653,13.419,1.1498,0.0732636,0.000263585,0.000263585
8,19.1171,1.82329,9.09448,0.96199,0.00185,0.33333,0.07716,0.04379,2.61226,13.1988,1.11053,0.0693014,0.000301407,0.000301407
9,19.9859,1.71855,8.55697,0.95457,0.00185,0.33333,0.06972,0.0414,2.48873,13.4618,1.1038,0.0653389,0.000338912,0.000338912
10,20.8723,1.85634,7.72519,0.95871,0.00185,0.33333,0.0802,0.05333,2.21598,13.3367,1.09217,0.0613761,0.0003761,0.0003761
11,21.7853,1.80998,6.94907,0.94842,0.00186,0.33333,0.09166,0.06961,2.15181,13.166,1.08039,0.057413,0.000412972,0.000412972
12,22.6641,1.8705,7.57901,1.03104,0.00186,0.33333,0.12678,0.08823,2.19753,13.3162,1.11149,0.0534495,0.000449527,0.000449527
13,23.5192,1.71875,6.77915,1.04009,0.00187,0.33333,0.1337,0.09257,2.4009,13.2556,1.16694,0.0494858,0.000485765,0.000485765
14,24.3368,1.92196,6.81397,1.03985,0.00187,0.33333,0.18444,0.11484,2.30276,13.6022,1.20961,0.0455217,0.000521686,0.000521686
15,25.1689,1.70785,5.99617,0.97647,0.56767,0.2,0.27081,0.17717,2.13362,12.9983,1.13922,0.0415573,0.00055729,0.00055729
16,25.9436,1.73554,5.50092,1.01547,0.56767,0.2,0.27081,0.17717,2.13362,12.9983,1.13922,0.0375926,0.000592578,0.000592578
17,26.7798,1.74103,6.22205,1.02052,0.53175,0.2,0.32451,0.19907,2.09977,12.5511,1.13467,0.0336275,0.000627549,0.000627549
18,27.7989,2.0735,5.74602,1.01979,0.88364,0.2,0.34475,0.197,2.11343,12.2609,1.13826,0.0296622,0.000662203,0.000662203
19,28.5985,1.85245,5.6806,1.04619,0.88364,0.2,0.34475,0.197,2.11343,12.2609,1.13826,0.0256965,0.00069654,0.00069654
20,29.4531,1.75286,5.3047,1.04993,0.55675,0.33333,0.52703,0.33357,2.16272,11.9718,1.10641,0.0217306,0.00073056,0.00073056
21,30.3436,1.78265,5.80352,1.02545,0.94206,0.31906,0.61237,0.3617,2.46406,11.8594,1.19116,0.0177643,0.000764264,0.000764264
22,31.006,1.89814,5.54671,1.07985,0.94206,0.31906,0.61237,0.3617,2.46406,11.8594,1.19116,0.0137977,0.000797651,0.000797651
23,31.5787,1.80139,4.93746,1.04224,1,0.26312,0.63141,0.34599,2.543,11.5078,1.2059,0.00983072,0.000830721,0.000830721
24,32.1844,1.71912,5.43928,1.01082,1,0.26312,0.63141,0.34599,2.543,11.5078,1.2059,0.00586347,0.000863474,0.000863474
25,32.7552,1.72426,5.02787,1.00219,0.99704,0.33333,0.65817,0.41541,2.25641,10.5811,1.12039,0.00189591,0.00089591,0.00089591
26,33.286,1.72048,5.01518,0.97625,0.99704,0.33333,0.65817,0.41541,2.25641,10.5811,1.12039,0.000901,0.000901,0.000901
27,33.8537,1.67885,4.91367,0.97025,0.98719,0.33333,0.66744,0.46302,1.92003,10.0066,1.02549,0.00089704,0.00089704,0.00089704
28,34.3933,1.78702,4.60312,1.02807,0.98719,0.33333,0.66744,0.46302,1.92003,10.0066,1.02549,0.00089308,0.00089308,0.00089308
29,34.9764,1.79451,5.07833,1.01703,0.75068,0.5,0.80986,0.51167,2.04208,9.63565,1.06553,0.00088912,0.00088912,0.00088912
