epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6737,3.62631,16.1186,1.68799,0.52141,0.06061,0.1102,0.04748,3.20946,15.0844,1.48473,0.09703,3e-05,3e-05
2,12.4496,3.79473,17.2194,1.86896,0.52343,0.06061,0.12125,0.05588,3.15395,13.5879,1.53656,0.0930697,6.97228e-05,6.97228e-05
3,13.2618,3.3116,12.5963,1.51926,0.85514,0.51168,0.5916,0.4329,1.67001,7.06927,1.06383,0.0891091,0.000109129,0.000109129
4,14.2586,2.3791,8.78144,1.31005,0.40937,0.5697,0.57166,0.37628,2.28469,7.26887,1.14573,0.0851482,0.000148218,0.000148218
5,15.1144,2.17237,5.82176,1.12804,0.51125,0.90502,0.62727,0.43893,1.65469,6.63364,1.02512,0.081187,0.00018699,0.00018699
6,16.0965,2.01084,4.87643,1.14869,0.38423,0.90801,0.54278,0.38,1.57621,6.83625,0.95353,0.0772254,0.000225446,0.000225446
7,17.0439,2.29144,5.56543,1.12068,0.41745,0.84242,0.55401,0.2652,2.85251,12.3333,1.1387,0.0732636,0.000263585,0.000263585
8,17.9321,2.35102,5.21563,1.06516,0.52022,0.79333,0.61837,0.36057,2.28203,12.8285,1.02627,0.0693014,0.000301407,0.000301407
9,18.872,1.98219,4.40069,1.04542,0.38187,0.65455,0.47025,0.29528,1.94069,15.5035,0.97626,0.0653389,0.000338912,0.000338912
10,19.734,1.87178,3.85869,1.02038,0.6109,0.66736,0.69857,0.46905,2.14394,15.9476,1.02716,0.0613761,0.0003761,0.0003761
11,20.6527,1.92608,3.63133,1.00562,0.37779,0.60038,0.53549,0.29441,2.78548,11.2587,1.2619,0.057413,0.000412972,0.000412972
12,21.6013,2.02875,4.50082,1.08603,0.33464,0.36042,0.26704,0.12463,3.23079,31.5227,1.67198,0.0534495,0.000449527,0.000449527
13,22.4803,1.93521,3.22336,1.08836,0.00306,0.2,0.00285,0.00108,4.37605,103.698,2.33426,0.0494858,0.000485765,0.000485765
14,23.3702,1.94695,3.60391,1.11287,0,0,0,0,4.00961,86.9556,2.0421,0.0455217,0.000521686,0.000521686
15,24.2839,1.70447,3.25782,1.00487,0,0,0,0,4.8142,897.416,2.46036,0.0415573,0.00055729,0.00055729
16,25.1418,1.85552,3.09468,1.09616,0,0,0,0,4.8142,897.416,2.46036,0.0375926,0.000592578,0.000592578
17,26.084,1.71308,3.19391,1.04233,0,0,0,0,4.1532,1045.66,2.2277,0.0336275,0.000627549,0.000627549
18,26.9194,2.12835,3.31461,1.06737,0.00186,0.33333,0.00188,0.00125,2.93108,149.09,1.55684,0.0296622,0.000662203,0.000662203
19,27.7295,1.86407,3.05126,1.06075,0.00186,0.33333,0.00188,0.00125,2.93108,149.09,1.55684,0.0256965,0.00069654,0.00069654
20,28.6018,1.89126,2.73841,1.11299,0.61589,0.33333,0.33167,0.24497,2.38755,17.2714,1.30829,0.0217306,0.00073056,0.00073056
21,29.4359,1.76699,3.17672,1.04982,0.98807,0.33333,0.55538,0.42056,2.12909,10.8198,1.16191,0.0177643,0.000764264,0.000764264
22,30.2359,1.99046,2.95679,1.12029,0.98807,0.33333,0.55538,0.42056,2.12909,10.8198,1.16191,0.0137977,0.000797651,0.000797651
23,31.1142,1.72279,2.74676,1.04433,0.75736,0.74048,0.88011,0.56167,2.20739,7.94157,1.1366,0.00983072,0.000830721,0.000830721
24,32.0872,1.70079,2.86488,1.01429,0.75736,0.74048,0.88011,0.56167,2.20739,7.94157,1.1366,0.00586347,0.000863474,0.000863474
25,33.0404,1.70441,2.80996,1.01678,0.77375,0.86131,0.95958,0.5696,2.22682,5.53777,1.13405,0.00189591,0.00089591,0.00089591
26,33.9173,1.75118,2.74664,1.00963,0.77375,0.86131,0.95958,0.5696,2.22682,5.53777,1.13405,0.000901,0.000901,0.000901
27,34.8775,1.72995,2.72648,0.9847,0.67273,0.87463,0.89829,0.60478,1.9677,5.48905,1.11411,0.00089704,0.00089704,0.00089704
28,35.7536,1.7916,2.70665,1.09108,0.67273,0.87463,0.89829,0.60478,1.9677,5.48905,1.11411,0.00089308,0.00089308,0.00089308
29,36.6733,1.80733,2.99398,1.06567,0.79405,0.81557,0.96005,0.62232,2.25106,4.72142,1.14331,0.00088912,0.00088912,0.00088912
30,37.5567,1.68939,2.92721,1.03589,0.79405,0.81557,0.96005,0.62232,2.25106,4.72142,1.14331,0.00088516,0.00088516,0.00088516
31,38.5142,1.63918,2.53194,1.00231,0.94241,0.8421,0.98857,0.61146,2.20135,3.63042,1.12831,0.0008812,0.0008812,0.0008812
32,39.3111,1.71645,2.41974,1.02917,0.94241,0.8421,0.98857,0.61146,2.20135,3.63042,1.12831,0.00087724,0.00087724,0.00087724
33,40.2169,1.72627,2.47474,1.00275,0.95552,0.94978,0.995,0.6073,2.27073,3.15417,1.18402,0.00087328,0.00087328,0.00087328
34,41.0617,1.73588,2.47205,1.01407,0.95552,0.94978,0.995,0.6073,2.27073,3.15417,1.18402,0.00086932,0.00086932,0.00086932
35,41.97,1.8214,2.51631,1.03442,0.75995,0.90902,0.91167,0.61232,1.89376,3.49719,1.10475,0.00086536,0.00086536,0.00086536
36,42.9522,1.65438,2.58785,1.07721,0.75995,0.90902,0.91167,0.61232,1.89376,3.49719,1.10475,0.0008614,0.0008614,0.0008614
37,43.8581,1.81554,2.78681,1.06937,0.80857,0.90551,0.85944,0.55579,2.00512,3.51365,1.10219,0.00085744,0.00085744,0.00085744
38,44.7768,1.71028,2.58174,1.06317,0.80857,0.90551,0.85944,0.55579,2.00512,3.51365,1.10219,0.00085348,0.00085348,0.00085348
39,45.7057,1.82962,2.44366,1.0371,0.88945,0.98296,0.995,0.55939,2.35505,2.879,1.19572,0.00084952,0.00084952,0.00084952
40,46.5435,1.63917,2.28502,0.99095,0.88945,0.98296,0.995,0.55939,2.35505,2.879,1.19572,0.00084556,0.00084556,0.00084556
41,47.4362,1.65117,2.38983,1.03515,0.97132,1,0.995,0.54062,2.33766,2.78267,1.21688,0.0008416,0.0008416,0.0008416
42,48.2818,1.59655,2.46515,1.03654,0.97132,1,0.995,0.54062,2.33766,2.78267,1.21688,0.00083764,0.00083764,0.00083764
43,49.261,1.76094,2.38956,1.04454,0.95551,0.9697,0.9925,0.56398,2.45241,2.98193,1.33129,0.00083368,0.00083368,0.00083368
44,49.9371,1.91642,2.40193,1.06712,0.95551,0.9697,0.9925,0.56398,2.45241,2.98193,1.33129,0.00082972,0.00082972,0.00082972
45,50.6143,1.81276,2.3987,1.10818,0.87173,0.92512,0.87386,0.46191,2.64139,3.33075,1.43892,0.00082576,0.00082576,0.00082576
46,51.2763,1.61982,2.30086,1.01477,0.87173,0.92512,0.87386,0.46191,2.64139,3.33075,1.43892,0.0008218,0.0008218,0.0008218
47,51.942,1.72849,2.36319,1.03802,0.95037,0.91071,0.97032,0.5044,2.68083,3.71557,1.4716,0.00081784,0.00081784,0.00081784
